VM;Powerstate;CPUs;Memory;Primary_IP_Address;Network_1;Cluster;Datacenter;Host;OS_VMwareTools;OS_ConfigFile;GeneratedUniqueID
APOS-EXT-BRC-01;poweredOn;2;6144;10.1.5.121;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.121","APOS-EXT-BRC-01"]
APOS-EXT-BRC-02;poweredOn;2;6144;10.1.5.122;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.122","APOS-EXT-BRC-02"]
APOS-EXT-CAS-01;poweredOn;2;2048;10.1.5.41;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-21.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.41","APOS-EXT-CAS-01"]
APOS-EXT-CAS-02;poweredOn;2;2048;10.1.5.42;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-21.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.42","APOS-EXT-CAS-02"]
APOS-EXT-CAS-03;poweredOn;2;2048;10.1.5.43;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.43","APOS-EXT-CAS-03"]
APOS-EXT-GPP-01;poweredOn;4;12288;10.1.5.71;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.71","APOS-EXT-GPP-01"]
APOS-EXT-GPP-02;poweredOn;4;12288;10.1.5.72;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.72","APOS-EXT-GPP-02"]
APOS-EXT-GPP-03;poweredOn;4;12288;10.1.5.73;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.5.73","APOS-EXT-GPP-03"]
APOS-EXT-GPP-11;poweredOn;2;6144;10.1.5.81;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.81","APOS-EXT-GPP-11"]
APOS-EXT-GPP-12;poweredOn;2;6144;10.1.5.82;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.82","APOS-EXT-GPP-12"]
APOS-EXT-GPP-13;poweredOn;2;6144;10.1.5.83;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.83","APOS-EXT-GPP-13"]
APOS-EXT-GPP-14;poweredOn;2;8192;10.1.5.84;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.5.84","APOS-EXT-GPP-14"]
APOS-EXT-GPP-15;poweredOn;2;8192;10.1.5.85;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.5.85","APOS-EXT-GPP-15"]
APOS-EXT-GPP-21;poweredOn;2;6144;10.1.5.91;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.91","APOS-EXT-GPP-21"]
APOS-EXT-GPP-22;poweredOn;2;6144;10.1.5.92;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.92","APOS-EXT-GPP-22"]
APOS-EXT-GPP-23;poweredOn;2;6144;10.1.5.93;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.93","APOS-EXT-GPP-23"]
APOS-EXT-GPP-24;poweredOn;2;8192;10.1.5.94;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.94","APOS-EXT-GPP-24"]
APOS-EXT-GPP-25;poweredOn;2;8192;10.1.5.95;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.95","APOS-EXT-GPP-25"]
APOS-EXT-GPP-31;poweredOn;2;6144;10.1.5.101;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.101","APOS-EXT-GPP-31"]
APOS-EXT-GPP-32;poweredOn;2;6144;10.1.5.102;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.102","APOS-EXT-GPP-32"]
APOS-EXT-GPP-33;poweredOn;8;6144;10.1.5.103;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.103","APOS-EXT-GPP-33"]
APOS-EXT-LOG-01;poweredOn;4;6144;10.1.5.21;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.5.21","APOS-EXT-LOG-01"]
APOS-EXT-TPP-01;poweredOn;2;8192;10.1.5.51;VLAN-10.1.5.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.5.51","APOS-EXT-TPP-01"]
APOS-EXT-TPP-02;poweredOn;2;4096;10.1.5.52;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.5.52","APOS-EXT-TPP-02"]
APOS-EXT-TRF-01;poweredOn;2;6144;10.1.5.141;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.141","APOS-EXT-TRF-01"]
APOS-EXT-TRF-02;poweredOn;2;6144;10.1.5.142;VLAN-10.1.5.x;CL_APOS;WEB;rz2-esx-40.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.142","APOS-EXT-TRF-02"]
APOS-EXT-TRF-03amd;poweredOn;2;6144;10.1.5.143;VLAN-10.1.5.x;;WEB;rz2-esx-91.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.5.143","APOS-EXT-TRF-03amd"]
APOS-INT-CAS-01;poweredOn;2;4096;10.1.4.41;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.41","APOS-INT-CAS-01"]
APOS-INT-CAS-02;poweredOn;2;4096;10.1.4.42;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.42","APOS-INT-CAS-02"]
APOS-INT-CAS-03;poweredOn;2;4096;10.1.4.43;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-40.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.43","APOS-INT-CAS-03"]
APOS-INT-CTL-01;poweredOn;4;8192;10.1.4.111;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-22.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.111","APOS-INT-CTL-01"]
APOS-INT-CTL-03;poweredOn;4;8192;10.1.4.113;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-22.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.113","APOS-INT-CTL-03"]
APOS-INT-DBS-03;poweredOn;4;8192;10.1.4.123;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-22.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.123","APOS-INT-DBS-03"]
APOS-INT-GPP-01;poweredOn;12;16384;10.1.4.71;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.71","APOS-INT-GPP-01"]
APOS-INT-GPP-02;poweredOn;12;16384;10.1.4.72;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.72","APOS-INT-GPP-02"]
APOS-INT-GPP-03;poweredOn;16;16384;10.1.4.73;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-21.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.73","APOS-INT-GPP-03"]
APOS-INT-GPP-04amd;poweredOn;16;24576;10.1.4.74;VLAN-10.1.4.x;;WEB;rz2-esx-91.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.74","APOS-INT-GPP-04amd"]
APOS-INT-GPP-05;poweredOn;8;16384;10.1.4.75;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.75","APOS-INT-GPP-05"]
APOS-INT-GPP-06;poweredOn;8;16384;10.1.4.76;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.76","APOS-INT-GPP-06"]
APOS-INT-LOG-01;poweredOn;4;6144;10.1.4.21;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.21","APOS-INT-LOG-01"]
APOS-INT-RNX-01;poweredOn;4;32768;10.1.4.61;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-22.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.61","APOS-INT-RNX-01"]
APOS-INT-RNX-02;poweredOn;4;32768;10.1.4.62;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-21.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.62","APOS-INT-RNX-02"]
APOS-INT-RNX-03amd;poweredOn;4;32768;10.1.4.63;VLAN-10.1.4.x;;WEB;rz2-esx-91.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.63","APOS-INT-RNX-03amd"]
APOS-INT-TPP-01;poweredOn;4;16384;10.1.4.51;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.4.51","APOS-INT-TPP-01"]
APOS-INT-TPP-02;poweredOn;4;16384;10.1.4.52;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-22.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.52","APOS-INT-TPP-02"]
APOS-INT-TPP-03;poweredOn;8;49152;;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-40.bev.int;;Microsoft Windows Server 2016 (64-bit);["APOS-INT-TPP-03"]
APOS-MSSQL-01;poweredOn;4;16384;10.1.4.66;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-21.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.66","APOS-MSSQL-01"]
APOS-PSQL-01;poweredOn;4;4096;10.1.4.67;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-38.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.67","APOS-PSQL-01"]
APOS-PSQL-03;poweredOn;3;4096;10.1.4.68;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-40.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.4.68","APOS-PSQL-03"]
APOS-VPN-01;poweredOn;4;2048;10.1.38.11;VLAN-10.1.38.x;CL_APOS;WEB;rz2-esx-40.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.38.11","APOS-VPN-01"]
APOSENTRY-01;poweredOn;2;12288;10.1.4.100;VLAN-10.1.4.x;CL_APOS;WEB;rz2-esx-40.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.4.100","APOSENTRY-01"]
APOSENTRY-02;poweredOn;2;12288;10.1.4.102;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-21.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.4.102","APOSENTRY-02"]
AST-01;poweredOn;1;8192;10.1.15.12;VLAN-10.1.15.x;CL_WEB;WEB;rz1-esx-59.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.15.12","AST-01"]
AST-02;poweredOn;1;8192;10.1.15.112;VLAN-10.1.15.x;CL_WEB;WEB;rz1-esx-59.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.15.112","AST-02"]
AST-03;poweredOn;1;4096;10.1.43.11;VLAN-10.1.43.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.43.11","AST-03"]
BAB-VPN-01;poweredOn;2;4096;10.6.19.33;VLAN-10.6.19.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.19.33","BAB-VPN-01"]
BEUAMAP-01;poweredOn;2;8192;10.70.5.51;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.51","BEUAMAP-01"]
BEUAPP-1;poweredOn;2;4096;10.70.2.37;VLAN-10.70.2.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.2.37","BEUAPP-1"]
BEUCIO-01;poweredOn;4;16384;10.6.13.13;VLAN-10.6.13.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.13.13","BEUCIO-01"]
BEUCIO-02;poweredOn;4;8192;10.6.13.14;VLAN-10.6.13.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.13.14","BEUCIO-02"]
BEUCLX-02;poweredOn;8;16384;10.70.150.32;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.32","BEUCLX-02"]
BEUCLX-04;poweredOn;2;4096;10.70.150.34;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.34","BEUCLX-04"]
BEUCLX-05;poweredOn;4;8192;10.70.150.35;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.35","BEUCLX-05"]
BEUCLX-06;poweredOn;2;4096;10.70.150.36;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.36","BEUCLX-06"]
BEUCLX-07;poweredOn;2;8192;192.168.122.1;VLAN-10.6.13.x;CL_BEU;BEU;rz2-esx-51.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["192.168.122.1","BEUCLX-07"]
BEUCLX-08;poweredOn;4;8192;10.70.150.38;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.38","BEUCLX-08"]
BEUCLX-09;poweredOn;2;8192;10.6.13.12;VLAN-10.6.13.x;CL_BEU;BEU;rz1-esx-51.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.6.13.12","BEUCLX-09"]
BEUCLX-10;poweredOn;4;8192;10.6.19.110;VLAN-10.6.19.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.19.110","BEUCLX-10"]
BEUCLX-11;poweredOn;4;16384;10.70.150.41;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.41","BEUCLX-11"]
BEUCLX-12;poweredOn;4;16384;10.70.150.42;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.42","BEUCLX-12"]
BEUCLX-13;poweredOn;2;6144;10.70.150.43;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.43","BEUCLX-13"]
BEUCLX-14;poweredOn;2;16384;10.70.150.44;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-41.bev.int;CentOS 4/5 (64-bit);CentOS 4/5 (64-bit);["10.70.150.44","BEUCLX-14"]
BEUCLX-15;poweredOn;2;16384;10.70.150.45;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.45","BEUCLX-15"]
BEUCLX-16;poweredOn;2;16384;10.70.150.46;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.46","BEUCLX-16"]
BEUCLX-17;poweredOn;4;8192;10.70.150.47;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.47","BEUCLX-17"]
BEUCLX-18;poweredOn;2;4096;10.70.150.48;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.48","BEUCLX-18"]
BEUCLX-19;poweredOn;4;8192;10.70.150.49;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.49","BEUCLX-19"]
BEUCLX-20;poweredOn;4;8192;10.70.150.50;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.50","BEUCLX-20"]
BEUCLX-21;poweredOn;2;4096;10.70.150.51;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.51","BEUCLX-21"]
BEUCLX-22;poweredOn;4;8192;10.70.150.52;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.52","BEUCLX-22"]
BEUCLX-23;poweredOn;4;16384;10.70.150.53;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.53","BEUCLX-23"]
BEUCLX-24;poweredOn;2;4096;10.70.150.54;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.54","BEUCLX-24"]
BEUCLX-25;poweredOn;2;4096;10.70.150.55;VLAN-10.70.150.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.55","BEUCLX-25"]
BEUCLX-26;poweredOn;2;4096;10.70.150.56;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.56","BEUCLX-26"]
BEUCLX-27;poweredOn;8;16384;10.70.150.57;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.57","BEUCLX-27"]
BEUCLX-28;poweredOn;4;8192;10.70.150.58;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.58","BEUCLX-28"]
BEUCLX-29;poweredOn;4;8192;10.70.150.59;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.59","BEUCLX-29"]
BEUCLX-30;poweredOn;2;4096;10.70.150.60;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.60","BEUCLX-30"]
BEUCLX-31;poweredOn;4;8192;10.70.150.61;VLAN-10.70.150.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.150.61","BEUCLX-31"]
BEUCLX-V1-01;poweredOn;4;8192;10.6.12.11;VLAN-10.6.12.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.12.11","BEUCLX-V1-01"]
BEUCLX-V1-02;poweredOn;10;32768;10.6.12.12;VLAN-10.6.12.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.12.12","BEUCLX-V1-02"]
BEUCLX-V1-03;poweredOn;8;32768;10.6.12.13;VLAN-10.6.12.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.12.13","BEUCLX-V1-03"]
BEUCLX-V1-06;poweredOn;4;8192;10.6.12.16;VLAN-10.6.12.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.12.16","BEUCLX-V1-06"]
BEUDOK-1;poweredOn;1;8192;10.70.2.40;VLAN-10.70.2.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.2.40","BEUDOK-1"]
BEUGIS-1;poweredOn;4;8192;10.70.5.50;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-41.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.70.5.50","BEUGIS-1"]
BEUKFS-1;poweredOn;1;4096;10.70.5.62;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.62","BEUKFS-1"]
BEULDAP-1;poweredOn;1;2048;10.70.5.65;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.65","BEULDAP-1"]
BEULDAP-2;poweredOn;1;2048;10.70.5.66;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.66","BEULDAP-2"]
BEUPOCVMW-03;poweredOn;2;8192;10.70.2.121;VLAN-10.70.2.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.70.2.121","BEUPOCVMW-03"]
BEUPTL-1;poweredOn;1;8192;10.70.5.60;VLAN-10.70.5.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.60","BEUPTL-1"]
